dis,year,month,mday,hour,min,sec,wday,yday
56.68075,2023,11,30,10,16,4,2,334
56.20055,2023,11,30,10,16,5,2,334
56.6293,2023,11,30,10,16,6,2,334
56.16625,2023,11,30,10,16,7,2,334
56.6293,2023,11,30,10,16,8,2,334
56.6636,2023,11,30,10,16,9,2,334
57.1781,2023,11,30,10,16,10,2,334
57.77835,2023,11,30,10,16,11,2,334
60.83105,2023,11,30,10,16,12,2,334
56.1491,2023,11,30,10,16,13,2,334
52.53045,2023,11,30,10,16,14,2,334
52.0331,2023,11,30,10,16,15,2,334
57.0752,2023,11,30,10,16,16,2,334
55.61745,2023,11,30,10,16,17,2,334
56.1491,2023,11,30,10,16,18,2,334
56.02905,2023,11,30,10,16,19,2,334
55.68605,2023,11,30,10,16,20,2,334
55.06865,2023,11,30,10,16,21,2,334
54.7085,2023,11,30,10,16,22,2,334
55.20585,2023,11,30,10,16,23,2,334
53.59375,2023,11,30,10,16,24,2,334
50.52391,2023,11,30,10,16,25,2,334
65.3072,2023,11,30,10,16,26,2,334
67.3652,2023,11,30,10,16,27,2,334
91.01504,2023,11,30,10,16,28,2,334
84.46375,2023,11,30,10,16,35,2,334
41.2629,2023,11,30,10,16,36,2,334
29.51515,2023,11,30,10,16,42,2,334
30.0125,2023,11,30,10,16,43,2,334
36.1865,2023,11,30,10,16,50,2,334
52.59905,2023,11,30,10,16,51,2,334
63.30065,2023,11,30,10,16,52,2,334
60.3337,2023,11,30,10,16,53,2,334
25.36485,2023,11,30,10,21,2,2,334
31.0072,2023,11,30,14,10,45,2,334
62.8376,2023,11,30,14,10,54,2,334
30.0125,2023,11,30,15,5,33,2,334
59.76775,2023,11,30,15,7,36,2,334
21.79765,2023,11,30,15,9,58,2,334
68.37705,2023,12,1,8,20,50,3,335
72.0643,2023,12,1,8,22,3,3,335
65.3758,2023,12,1,9,12,18,3,335
24.3187,2023,12,1,9,14,29,3,335
56.13195,2023,12,1,9,16,6,3,335
45.84195,2023,12,1,9,26,48,3,335
49.44345,2023,12,1,9,39,26,3,335
36.10075,2023,12,1,10,0,0,3,335
58.22425,2023,12,1,10,7,52,3,335
56.595,2023,12,1,13,9,42,3,335
86.4017,2023,12,1,13,10,30,3,335
36.5981,2023,12,1,14,0,8,3,335
25.382,2023,12,1,14,4,38,3,335
36.6324,2023,12,1,15,57,37,3,335
49.92365,2023,12,1,15,57,50,3,335
21.266,2023,12,1,16,8,37,3,335
28.0231,2023,12,1,16,9,24,3,335
29.9439,2023,12,1,16,10,51,3,335
26.32525,2023,12,5,9,21,31,0,339
61.8429,2023,12,5,9,21,32,0,339
71.97855,2023,12,5,9,21,33,0,339
67.38235,2023,12,5,10,12,14,0,339
16.72125,2023,12,5,10,13,26,0,339
22.79235,2023,12,5,10,13,58,0,339
56.595,2023,12,6,8,21,9,1,340
61.6371,2023,12,6,8,21,13,1,340
50.54105,2023,12,6,8,21,22,1,340
62.769,2023,12,6,8,23,24,1,340
47.8828,2023,12,6,10,21,30,1,340
20.70005,2023,12,6,10,41,19,1,340
56.1148,2023,12,6,10,41,22,1,340
71.39545,2023,12,6,10,41,23,1,340
62.3574,2023,12,6,10,41,24,1,340
73.6078,2023,12,6,10,44,26,1,340
40.7827,2023,12,6,10,44,50,1,340
65.9589,2023,12,6,10,46,4,1,340
63.36925,2023,12,6,10,46,5,1,340
72.52735,2023,12,6,11,4,2,1,340
45.4475,2023,12,6,11,4,3,1,340
61.86005,2023,12,6,11,5,21,1,340
58.29285,2023,12,6,11,11,8,1,340
72.52735,2023,12,6,11,13,51,1,340
33.11665,2023,12,7,10,22,20,2,341
74.65394,2023,12,7,10,22,30,2,341
96.09145,2023,12,7,10,23,32,2,341
77.0721,2023,12,7,11,10,47,2,341
32.0019,2023,12,7,11,11,15,2,341
51.03839,2023,12,7,14,39,47,2,341
43.2523,2023,12,7,14,40,18,2,341
49.44345,2023,12,7,15,2,33,2,341
57.46965,2023,12,8,8,28,8,3,342
45.29315,2023,12,8,9,12,31,3,342
59.39045,2023,12,8,9,13,39,3,342
80.10765,2023,12,8,9,14,38,3,342
93.982,2023,12,8,9,14,39,3,342
89.67734,2023,12,8,9,15,24,3,342
87.2935,2023,12,8,9,15,25,3,342
96.8289,2023,12,8,9,15,26,3,342
93.21025,2023,12,8,9,15,27,3,342
30.64705,2023,12,8,9,16,1,3,342
99.6072,2023,12,11,8,41,55,6,345
98.7154,2023,12,11,8,52,52,6,345
40.2339,2023,12,11,9,4,12,6,345
49.99225,2023,12,11,9,4,43,6,345
29.00065,2023,12,11,9,23,1,6,345
75.58005,2023,12,11,9,23,49,6,345
88.4254,2023,12,11,9,23,50,6,345
58.2071,2023,12,11,9,23,51,6,345
89.4544,2023,12,11,9,23,59,6,345
89.05995,2023,12,11,9,24,2,6,345
60.368,2023,12,11,9,24,3,6,345
62.27165,2023,12,11,9,24,4,6,345
62.769,2023,12,11,9,24,5,6,345
59.21895,2023,12,11,9,24,6,6,345
47.89995,2023,12,11,9,24,7,6,345
68.96015,2023,12,11,9,24,8,6,345
72.0986,2023,12,11,9,24,9,6,345
49.99225,2023,12,11,9,24,14,6,345
43.30375,2023,12,11,9,24,15,6,345
56.6979,2023,12,11,9,24,16,6,345
89.04281,2023,12,11,9,24,17,6,345
36.701,2023,12,11,9,24,21,6,345
16.121,2023,12,11,9,24,28,6,345
20.7515,2023,12,11,9,24,37,6,345
40.2339,2023,12,11,9,24,38,6,345
65.94175,2023,12,11,9,24,39,6,345
85.49274,2023,12,11,9,24,40,6,345
92.62715,2023,12,11,9,24,41,6,345
58.77305,2023,12,11,9,24,42,6,345
57.8641,2023,12,11,9,24,43,6,345
58.73875,2023,12,11,9,24,44,6,345
52.49615,2023,12,11,9,24,45,6,345
53.07925,2023,12,11,9,24,46,6,345
75.66579,2023,12,11,9,24,47,6,345
73.14475,2023,12,11,9,24,48,6,345
72.04715,2023,12,11,9,24,49,6,345
42.8407,2023,12,11,9,24,50,6,345
56.1491,2023,12,11,9,24,51,6,345
72.11575,2023,12,11,9,24,52,6,345
86.0587,2023,12,11,9,25,16,6,345
93.67331,2023,12,11,9,26,19,6,345
67.9483,2023,12,11,9,26,46,6,345
16.121,2023,12,11,9,27,3,6,345
16.1553,2023,12,11,9,27,4,6,345
15.7437,2023,12,11,9,27,5,6,345
15.65795,2023,12,11,9,27,6,6,345
15.65795,2023,12,11,9,27,7,6,345
16.13815,2023,12,11,9,27,8,6,345
15.6408,2023,12,11,9,27,9,6,345
16.1553,2023,12,11,9,27,10,6,345
16.13815,2023,12,11,9,27,11,6,345
15.65795,2023,12,11,9,27,12,6,345
69.92055,2023,12,11,9,27,18,6,345
93.00445,2023,12,11,9,27,53,6,345
16.1553,2023,12,11,9,28,3,6,345
16.13815,2023,12,11,9,28,4,6,345
16.13815,2023,12,11,9,28,5,6,345
16.13815,2023,12,11,9,28,47,6,345
16.13815,2023,12,11,9,28,50,6,345
16.121,2023,12,11,9,28,56,6,345
16.13815,2023,12,11,9,28,57,6,345
16.1553,2023,12,11,9,29,11,6,345
16.10385,2023,12,11,9,29,12,6,345
49.4949,2023,12,11,9,29,20,6,345
19.2423,2023,12,11,9,29,28,6,345
16.10385,2023,12,11,9,29,31,6,345
93.00445,2023,12,11,9,31,18,6,345
56.1491,2023,12,11,9,37,31,6,345
20.2713,2023,12,11,10,25,36,6,345
68.3942,2023,12,11,10,27,39,6,345
72.11575,2023,12,11,10,27,58,6,345
84.44659,2023,12,11,10,31,51,6,345
99.28135,2023,12,11,10,32,54,6,345
41.7774,2023,12,11,10,33,25,6,345
16.10385,2023,12,11,10,33,33,6,345
19.2766,2023,12,11,10,34,56,6,345
54.58845,2023,12,11,10,36,0,6,345
96.22865,2023,12,11,10,36,17,6,345
96.81174,2023,12,11,10,37,13,6,345
75.16845,2023,12,11,10,41,42,6,345
59.7849,2023,12,11,10,42,21,6,345
97.72071,2023,12,11,10,42,22,6,345
56.54355,2023,12,11,10,43,8,6,345
90.53485,2023,12,11,10,46,41,6,345
59.25325,2023,12,11,10,46,58,6,345
55.6689,2023,12,11,11,9,39,6,345
95.19965,2023,12,11,11,9,40,6,345
57.21241,2023,12,11,11,9,43,6,345
21.28315,2023,12,11,11,12,4,6,345
53.55945,2023,12,11,11,12,11,6,345
93.14165,2023,12,11,11,12,53,6,345
65.3758,2023,12,11,11,13,33,6,345
39.2049,2023,12,11,11,13,34,6,345
78.28975,2023,12,11,11,13,35,6,345
90.5177,2023,12,11,11,13,36,6,345
67.34806,2023,12,11,11,14,46,6,345
70.0406,2023,12,11,11,14,47,6,345
72.11575,2023,12,11,11,18,44,6,345
43.33805,2023,12,11,11,19,5,6,345
24.95325,2023,12,11,11,20,3,6,345
